bundesland,diesel,e5,e10,date
Bayern,2.1949738309452407,2.127302099300233,1.9972887481950456,2022-03-21 00:00:00
Berlin,2.171485940879596,2.129816149963951,2.060096322999279,2022-03-21 00:00:00
Brandenburg,2.167130835443038,2.0971428860759493,1.9959427848101268,2022-03-21 00:00:00
Bremen,2.1858037135278514,2.164512820512821,2.077390804597701,2022-03-21 00:00:00
Hamburg,2.155972627737226,2.142939781021897,2.057092883211679,2022-03-21 00:00:00
Hessen,2.1744210291327155,2.1279046396547234,2.013657774305168,2022-03-21 00:00:00
Mecklenburg-Vorpommern,2.15151906779661,2.036005575379126,1.9213035236396077,2022-03-21 00:00:00
Niedersachsen,2.163469009108606,2.0914759066548103,1.9072595111634505,2022-03-21 00:00:00
Nordrhein-Westfalen,2.158624908205728,2.108944379470721,2.0144149781053664,2022-03-21 00:00:00
Rheinland-Pfalz,2.1674388988536224,2.1160175465959603,2.0325364579271623,2022-03-21 00:00:00
Saarland,2.1658669577874816,2.11617845705968,2.009491411935953,2022-03-21 00:00:00
Sachsen,2.169228384337832,2.101487505011359,1.9873707069357207,2022-03-21 00:00:00
Sachsen-Anhalt,2.166687433076998,2.074104351211915,1.9175098802686656,2022-03-21 00:00:00
Schleswig-Holstein,2.1570711042862865,2.077666711176392,1.913806315930031,2022-03-21 00:00:00
Thüringen,2.1934090587402686,2.1136152057425943,1.947916287534122,2022-03-21 00:00:00
bundesweit,2.171580395788088,2.109403040446899,1.989283716155916,2022-03-21 00:00:00
Baden-Württemberg,2.1914378682571365,2.1251220028378346,2.032701714725476,2022-03-22 00:00:00
Bayern,2.1960603304726525,2.12212185645361,1.99222915332394,2022-03-22 00:00:00
Berlin,2.162780046915965,2.127440734096868,2.059588933351732,2022-03-22 00:00:00
Brandenburg,2.165987390295572,2.094527085645112,1.992355896297791,2022-03-22 00:00:00
Bremen,2.182986350863107,2.139843034925733,2.05556764351666,2022-03-22 00:00:00
Hamburg,2.1574060617126163,2.1285618039072483,2.039943399671353,2022-03-22 00:00:00
Hessen,2.178300720487715,2.1211032699057824,2.015481692222428,2022-03-22 00:00:00
Mecklenburg-Vorpommern,2.1483258972943124,2.0262345665378243,1.9192796245168415,2022-03-22 00:00:00
Niedersachsen,2.1685942847569586,2.071207428858626,1.887007658617141,2022-03-22 00:00:00
Nordrhein-Westfalen,2.1677678825138424,2.106368418956062,2.012025520840249,2022-03-22 00:00:00
Rheinland-Pfalz,2.168146947835738,2.110721568627451,2.025096633370329,2022-03-22 00:00:00
Saarland,2.164134688346884,2.1182864498644984,2.0078238482384823,2022-03-22 00:00:00
Sachsen,2.163998681654177,2.0934353316680543,1.9788387454898697,2022-03-22 00:00:00
Sachsen-Anhalt,2.161299569171853,2.0673085686931545,1.915441933939684,2022-03-22 00:00:00
Schleswig-Holstein,2.1563407810739768,2.074046814369759,1.9191945174615093,2022-03-22 00:00:00
Thüringen,2.1868094523630908,2.1025324188189902,1.937764548279927,2022-03-22 00:00:00
bundesweit,2.17449085287528,2.103067082897685,1.9844293622106048,2022-03-22 00:00:00
Baden-Württemberg,2.1850754100672085,2.1240072378624806,2.033052638999859,2022-03-23 00:00:00
Bayern,2.19468258385821,2.111832116177363,1.9827357550900837,2022-03-23 00:00:00
Berlin,2.16971186440678,2.134425129569968,2.0638113181117803,2022-03-23 00:00:00
Brandenburg,2.1776165019762845,2.0943514822134386,1.9927241106719369,2022-03-23 00:00:00
Bremen,2.185335687577898,2.1607989198171995,2.075456169505609,2022-03-23 00:00:00
Hamburg,2.158769645179268,2.127708898383801,2.0427852498606724,2022-03-23 00:00:00
Hessen,2.1833038812062355,2.122986487913016,2.0191310742812907,2022-03-23 00:00:00
Mecklenburg-Vorpommern,2.1637503077783995,2.0319786233911583,1.913345159485171,2022-03-23 00:00:00
Niedersachsen,2.17331897603536,2.0757944473859893,1.8906993024701304,2022-03-23 00:00:00
Nordrhein-Westfalen,2.176609867062059,2.10483975211953,2.010160906867404,2022-03-23 00:00:00
Rheinland-Pfalz,2.1641334866861843,2.1010121985222363,2.018989962358846,2022-03-23 00:00:00
Saarland,2.166727368144844,2.1140524796641302,2.003773287850958,2022-03-23 00:00:00
Sachsen,2.164653483262246,2.105679591572961,1.9933739821636292,2022-03-23 00:00:00
Sachsen-Anhalt,2.158234485896269,2.065157597816196,1.908612738853503,2022-03-23 00:00:00
Schleswig-Holstein,2.1683069356872635,2.0873587011349306,1.921415952080706,2022-03-23 00:00:00
Thüringen,2.187526078686555,2.107609170087096,1.9378400240264289,2022-03-23 00:00:00
